ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
BFA,BA:15678,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,1087.272,,,,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,12251.361,,,,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,11968.165,,,,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,12419.673,,,,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,12179.518,,,,S5:38
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,12072.519,B,,I11:264,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,9532.411,B,,I11:264,R1:3513
BGD,BA:673,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,6876.009,B,,I11:264,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,867.564,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,889.007,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2021,863.014,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,907.298,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,897.6,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,955.13,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,923.582,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,910.217,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,918.557,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,883.607,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,895.965,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,923.084,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,934.35,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,1027.199,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2009,1158.385,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,1218.883,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2007,1154.685,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,1072.091,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2005,1020.362,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2004,975.741,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2003,923.341,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2002,913.722,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2001,901.775,,,,R1:3513
BGR,BA:2258,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2000,937.987,,,,R1:3513
BHR,AA:597,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2001,81.69,,,,
BHS,BA:17,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,30.463,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,410.533,B,,I11:264,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,401.511,B,,I11:264,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2021,385.991,B,,I11:264,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,391.316,B,,I11:264,R1:3513_S14:4077
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,254.6,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,264.287,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,240.666,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,250.548,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,242.176,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,243.636,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,244.983,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,247.035,,,,R1:3513
BIH,BA:493,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,235.7,,,,R1:3513
